Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 4096	        0.055650	  0.001514	 36.759489	0.000000e+00
4000 x 4096	        0.175524	  0.002243	 78.246175	0.000000e+00
8000 x 4096	        0.406658	  0.004470	 90.977553	0.000000e+00
16000 x 4096	        0.860373	  0.008764	 98.174885	0.000000e+00
32000 x 4096	        1.829386	  0.016612	110.125023	0.000000e+00
64000 x 4096	        3.826185	  0.034936	109.518480	0.000000e+00
128000 x 4096	        7.839786	  0.060006	130.649582	1.048290e+03
256000 x 4096	       15.849069	  0.060006	264.123822	1.048200e+03
512000 x 4096	       31.940954	  0.060006	532.294177	1.048348e+03
