Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.013928	  0.000669	 20.833632	0.000000e+00
4000 x 512	        0.048801	  0.001025	 47.610227	0.000000e+00
8000 x 512	        0.120219	  0.001423	 84.462451	0.000000e+00
16000 x 512	        0.255515	  0.002808	 91.002361	0.000000e+00
32000 x 512	        0.495518	  0.005096	 97.245923	0.000000e+00
64000 x 512	        0.976668	  0.009688	100.807948	0.000000e+00
128000 x 512	        2.008457	  0.024129	 83.239319	0.000000e+00
256000 x 512	        4.072503	  0.071763	 56.749386	0.000000e+00
512000 x 512	        8.321585	  0.116290	 71.558625	0.000000e+00
1024000 x 512	       16.814598	  0.202809	 82.908595	1.365545e+02
