Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.030485	  0.000994	 30.678672	0.000000e+00
4000 x 512	        0.086415	  0.001276	 67.729926	0.000000e+00
8000 x 512	        0.198364	  0.002244	 88.398046	0.000000e+00
16000 x 512	        0.426311	  0.004370	 97.550368	0.000000e+00
32000 x 512	        0.903847	  0.008275	109.220882	0.000000e+00
64000 x 512	        1.940887	  0.016607	116.871523	0.000000e+00
128000 x 512	        4.097956	  0.053065	 77.225343	0.000000e+00
256000 x 512	        8.318681	  0.133779	 62.182050	0.000000e+00
512000 x 512	       16.820857	  0.218128	 77.114782	0.000000e+00
1024000 x 512	       34.016337	  0.389688	 87.291200	1.365545e+02
