Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.007363	  0.000640	 11.510480	0.000000e+00
4000 x 2048	        0.022432	  0.000674	 33.283884	0.000000e+00
8000 x 2048	        0.050597	  0.000969	 52.200159	0.000000e+00
16000 x 2048	        0.109733	  0.001596	 68.747074	0.000000e+00
32000 x 2048	        0.231936	  0.002837	 81.741502	0.000000e+00
64000 x 2048	        0.466277	  0.005328	 87.518055	0.000000e+00
128000 x 2048	        0.945607	  0.007859	120.322339	0.000000e+00
256000 x 2048	        1.952491	  0.014271	136.817376	5.283632e+02
512000 x 2048	        3.990128	  0.014271	279.601201	5.283018e+02
1024000 x 2048	        8.094065	  0.014271	567.177311	5.278472e+02
