Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.014463	  0.000735	 19.684282	0.000000e+00
4000 x 256	        0.045515	  0.000937	 48.567742	0.000000e+00
8000 x 256	        0.110329	  0.001483	 74.420710	0.000000e+00
16000 x 256	        0.228866	  0.002634	 86.899118	0.000000e+00
32000 x 256	        0.466492	  0.005038	 92.587855	0.000000e+00
64000 x 256	        0.951888	  0.010094	 94.306145	0.000000e+00
128000 x 256	        1.986719	  0.023940	 82.986178	0.000000e+00
256000 x 256	        4.070946	  0.070361	 57.857739	0.000000e+00
512000 x 256	        8.277946	  0.132854	 62.308556	0.000000e+00
1024000 x 256	       16.747264	  0.222975	 75.108347	0.000000e+00
