Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 4096	        0.007110	  0.000619	 11.487983	0.000000e+00
4000 x 4096	        0.021105	  0.000646	 32.654327	0.000000e+00
8000 x 4096	        0.049861	  0.001004	 49.674750	0.000000e+00
16000 x 4096	        0.106873	  0.001676	 63.769610	0.000000e+00
32000 x 4096	        0.220517	  0.002812	 78.426277	0.000000e+00
64000 x 4096	        0.448136	  0.004473	100.192885	0.000000e+00
128000 x 4096	        0.903482	  0.008117	111.306623	1.042043e+03
256000 x 4096	        1.871464	  0.008117	230.559445	1.041967e+03
512000 x 4096	        3.838345	  0.008117	472.874045	1.041680e+03
