Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.061432	  0.001507	 40.772982	0.000000e+00
4000 x 512	        0.175482	  0.002178	 80.576947	0.000000e+00
8000 x 512	        0.416115	  0.004336	 95.964134	0.000000e+00
16000 x 512	        0.896616	  0.008739	102.602590	0.000000e+00
32000 x 512	        1.919057	  0.016471	116.513601	0.000000e+00
64000 x 512	        4.075088	  0.040051	101.746383	0.000000e+00
128000 x 512	        8.303924	  0.126559	 65.613249	0.000000e+00
256000 x 512	       16.720371	  0.267241	 62.566640	0.000000e+00
512000 x 512	       33.483004	  0.478340	 69.998409	0.000000e+00
1024000 x 512	       67.211012	  0.868045	 77.428035	1.393549e+02
