Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.055886	  0.001415	 39.504386	0.000000e+00
4000 x 2048	        0.169032	  0.002162	 78.171205	0.000000e+00
8000 x 2048	        0.395511	  0.004455	 88.771590	0.000000e+00
16000 x 2048	        0.861577	  0.008923	 96.554975	0.000000e+00
32000 x 2048	        1.827764	  0.017073	107.058239	0.000000e+00
64000 x 2048	        3.812765	  0.039295	 97.028485	0.000000e+00
128000 x 2048	        7.787740	  0.100054	 77.835377	0.000000e+00
256000 x 2048	       15.712511	  0.174141	 90.228756	5.350412e+02
512000 x 2048	       31.566464	  0.174141	181.269736	5.349691e+02
1024000 x 2048	       63.573432	  0.174141	365.069058	5.347362e+02
