Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.029052	  0.000000	636084044864765219673255688475715548741632.000000	7.116731e+01
4000 x 256	        0.087046	  0.000000	1905877844802814550130882372159638394109952.000000	1.404468e+306
8000 x 256	        0.216025	  0.000000	4729872010353361144391673902089409950384128.000000	1.404468e+306
16000 x 256	        0.454831	  0.000000	9958536123204124463523439887730770026954752.000000	1.404468e+306
32000 x 256	        0.940176	  0.000000	20585154533823978334843622214488532501659648.000000	1.404468e+306
64000 x 256	        1.950372	  0.000000	42703395378636340747113987327000042820075520.000000	1.404468e+306
128000 x 256	        4.099375	  0.000000	89755837565137564927858986085183537100619776.000000	7.128282e+01
256000 x 256	        8.429122	  0.000000	184555655040383501107309481211332331204247552.000000	7.128282e+01
512000 x 256	       17.073393	  0.000000	373822002381226018357568046623213333793210368.000000	7.128282e+01
1024000 x 256	       34.392906	  0.000000	753032796979997997245416770426653602517876736.000000	7.128854e+01
