Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.006857	  0.000000	149441134773830376848682433608725745893376.000000	6.931825e+01
4000 x 256	        0.020923	  0.000000	455994546835697328952159524687268580163584.000000	6.941290e+01
8000 x 256	        0.048945	  0.000000	1066708054766784321953766952102382322843648.000000	6.931640e+01
16000 x 256	        0.106527	  0.000000	2321658091303430665901621821184302678802432.000000	1.527376e+135
32000 x 256	        0.223853	  0.000000	4878660927713405645755954443281301348810752.000000	1.404468e+306
64000 x 256	        0.458410	  0.000000	9990609559745733896173268556416119686037504.000000	1.404468e+306
128000 x 256	        0.928275	  0.000000	20230851935156330924294868819153710204583936.000000	1.404468e+306
256000 x 256	        1.871025	  0.000000	40777188584261655766966679017501031269400576.000000	1.404468e+306
512000 x 256	        3.882418	  0.000000	84613558855672811745558867815324269001310208.000000	6.951908e+01
1024000 x 256	        7.919507	  0.000000	172598003830471672871109024080225801454223360.000000	6.959801e+01
