Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.013865	  0.000000	304194320049264126700864115550303654248448.000000	2.690347e+02
4000 x 1024	        0.042048	  0.000000	922500613754713697892840873128020634763264.000000	2.690280e+02
8000 x 1024	        0.098564	  0.000000	2162428696634312427314381260551562574430208.000000	1.508875e+135
16000 x 1024	        0.211527	  0.000000	4640789584915618344167217640843650923495424.000000	1.404468e+306
32000 x 1024	        0.444389	  0.000000	9749639535081400052301481279149407729614848.000000	1.404468e+306
64000 x 1024	        0.896979	  0.000000	19679203387315577134672151126923687885799424.000000	1.404468e+306
128000 x 1024	        1.803543	  0.000000	39568715241235972107734071340730004885471232.000000	1.404468e+306
256000 x 1024	        3.723669	  0.000000	81695176890930299555667508195484806319964160.000000	2.692300e+02
512000 x 1024	        7.777817	  0.000000	170640881431060445590053195202819054777663488.000000	2.692300e+02
1024000 x 1024	       16.029158	  0.000000	351670583189948493833642321077930876542648320.000000	2.690965e+02
