Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.006874	  0.000000	150510945348525922475570599732889092358144.000000	1.365234e+02
4000 x 512	        0.020925	  0.000000	458127986754022828441127964090064596631552.000000	1.362506e+02
8000 x 512	        0.048962	  0.000000	1071993052036812370251464052837253568790528.000000	1.364314e+02
16000 x 512	        0.105211	  0.000000	2303520912069213732950375361451962207830016.000000	1.404468e+306
32000 x 512	        0.217829	  0.000000	4769228493290418019885998431082373779030016.000000	1.404468e+306
64000 x 512	        0.450627	  0.000000	9866168273386635551219771635035868137259008.000000	1.404468e+306
128000 x 512	        0.903075	  0.000000	19772231438965077470033564933197896517419008.000000	1.404468e+306
256000 x 512	        1.836039	  0.000000	40198845578069798194744499943384598448177152.000000	1.404468e+306
512000 x 512	        3.833839	  0.000000	83939346711408074929547510629878469696159744.000000	1.365890e+02
1024000 x 512	        7.868823	  0.000000	172282615791386420706056550595966022178570240.000000	1.365545e+02
