Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.028186	  0.000000	616421958192505021770406595585507453829120.000000	1.362825e+02
4000 x 512	        0.084428	  0.000000	1846395106092778170172541369848759391879168.000000	1.404468e+306
8000 x 512	        0.196857	  0.000000	4305173484988288537980006810063057671159808.000000	1.404468e+306
16000 x 512	        0.422868	  0.000000	9247906459499815241407684131451167353864192.000000	1.404468e+306
32000 x 512	        0.877284	  0.000000	19185769911945487391306211644943552422608896.000000	1.404468e+306
64000 x 512	        1.835074	  0.000000	40132162428312236666287793552770645442428928.000000	1.404468e+306
128000 x 512	        3.836570	  0.000000	83903893303710819428139652818237908542554112.000000	1.365165e+02
256000 x 512	        7.789535	  0.000000	170353284686905617085345123305330168628772864.000000	1.366331e+02
512000 x 512	       15.987725	  0.000000	349643647918523934676144528602022306868363264.000000	1.366331e+02
1024000 x 512	       32.747752	  0.000000	716177144189549038899388627595057151237685248.000000	1.365545e+02
