Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.013803	  0.000710	 19.437239	0.000000e+00
4000 x 2048	        0.041533	  0.000914	 45.439648	0.000000e+00
8000 x 2048	        0.096858	  0.001516	 63.889642	0.000000e+00
16000 x 2048	        0.210768	  0.002621	 80.409507	0.000000e+00
32000 x 2048	        0.436200	  0.004808	 90.717706	0.000000e+00
64000 x 2048	        0.887435	  0.009188	 96.587611	0.000000e+00
128000 x 2048	        1.792011	  0.023245	 77.093334	0.000000e+00
256000 x 2048	        3.743956	  0.071586	 52.300171	0.000000e+00
512000 x 2048	        7.653990	  0.145350	 52.659034	0.000000e+00
1024000 x 2048	       15.673288	  0.288556	 54.316346	0.000000e+00
