Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.056700	  0.000000	1241286267925426208368859950152976884039680.000000	4.619822e+281
4000 x 256	        0.169903	  0.000000	3719565891238198416136886077815143037665280.000000	1.404468e+306
8000 x 256	        0.397099	  0.000000	8693407740466160619563569326141135730507776.000000	1.404468e+306
16000 x 256	        0.868649	  0.000000	19016730528940239102127366600652273703976960.000000	1.404468e+306
32000 x 256	        1.882874	  0.000000	41220467115603444634343611249631489391853568.000000	1.404468e+306
64000 x 256	        4.003578	  0.000000	87647586544032145353841218077668576629620736.000000	7.141286e+01
128000 x 256	        8.256192	  0.000000	180747167742425142280552072958511699116163072.000000	7.127325e+01
256000 x 256	       16.767358	  0.000000	367076319267806058857397804826657629728145408.000000	7.128282e+01
512000 x 256	       33.698207	  0.000000	737731817476778031115360545070581060116414464.000000	7.128282e+01
1024000 x 256	       67.799151	  0.000000	1484280491317874649747573709116702098286706688.000000	7.128854e+01
