Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.056341	  0.001471	 38.305890	0.000000e+00
4000 x 1024	        0.169639	  0.002171	 78.140589	0.000000e+00
8000 x 1024	        0.396638	  0.004373	 90.696989	0.000000e+00
16000 x 1024	        0.859071	  0.008467	101.461574	0.000000e+00
32000 x 1024	        1.832472	  0.016282	112.543517	0.000000e+00
64000 x 1024	        3.830390	  0.040213	 95.253613	0.000000e+00
128000 x 1024	        7.788264	  0.128977	 60.385083	0.000000e+00
256000 x 1024	       15.707431	  0.336967	 46.614119	0.000000e+00
512000 x 1024	       31.541649	  0.679210	 46.438754	0.000000e+00
1024000 x 1024	       64.222489	  1.355938	 47.363880	0.000000e+00
