Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.014050	  0.000000	308206024842484391667537332824629894447104.000000	7.114172e+01
4000 x 256	        0.042123	  0.000000	924031137505208809846611158290647081811968.000000	7.106089e+01
8000 x 256	        0.098428	  0.000000	2159199556252828239429433074761796157440000.000000	2.758688e+257
16000 x 256	        0.215100	  0.000000	4718594223570299976853491589752326929252352.000000	1.404468e+306
32000 x 256	        0.450179	  0.000000	9875451978149426000110081669618580347420672.000000	1.404468e+306
64000 x 256	        0.916764	  0.000000	20110796421921243413974805948510328982601728.000000	1.404468e+306
128000 x 256	        1.860269	  0.000000	40808228733978349854780376775422560939540480.000000	1.404468e+306
256000 x 256	        3.915578	  0.000000	85894984292032801883249322247791634213240832.000000	7.128282e+01
512000 x 256	        8.071543	  0.000000	177063273745329453799505528078704126009016320.000000	7.128282e+01
1024000 x 256	       16.317173	  0.000000	357945459542574812663031761979451323623407616.000000	7.128854e+01
