Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.027640	  0.001097	 25.193602	0.000000e+00
4000 x 2048	        0.083197	  0.001317	 63.172002	0.000000e+00
8000 x 2048	        0.193731	  0.002276	 85.113827	0.000000e+00
16000 x 2048	        0.433247	  0.004218	102.710124	0.000000e+00
32000 x 2048	        0.889912	  0.008227	108.163276	0.000000e+00
64000 x 2048	        1.832645	  0.016024	114.367554	0.000000e+00
128000 x 2048	        3.826577	  0.053672	 71.295898	0.000000e+00
256000 x 2048	        7.777191	  0.147672	 52.665225	0.000000e+00
512000 x 2048	       15.688892	  0.298150	 52.620741	0.000000e+00
1024000 x 2048	       32.457012	  0.593770	 54.662564	0.000000e+00
