Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 4096	        0.027593	  0.000964	 28.615375	0.000000e+00
4000 x 4096	        0.084058	  0.001304	 64.441260	0.000000e+00
8000 x 4096	        0.200442	  0.002255	 88.880311	0.000000e+00
16000 x 4096	        0.426008	  0.004181	101.902346	0.000000e+00
32000 x 4096	        0.877235	  0.008207	106.884731	0.000000e+00
64000 x 4096	        1.856246	  0.016011	115.935578	0.000000e+00
128000 x 4096	        3.831572	  0.053966	 70.999492	0.000000e+00
256000 x 4096	        7.783844	  0.147901	 52.628839	0.000000e+00
512000 x 4096	       16.092363	  0.298082	 53.986370	0.000000e+00
