Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.028158	  0.000000	616321088255721280841290063326564487004160.000000	2.689775e+02
4000 x 1024	        0.084455	  0.000000	1848507833810601676295259450152532182040576.000000	1.404468e+306
8000 x 1024	        0.197323	  0.000000	4318930567443765104053866317874443241652224.000000	1.404468e+306
16000 x 1024	        0.422856	  0.000000	9255317741740257825444883824975478955966464.000000	1.404468e+306
32000 x 1024	        0.891310	  0.000000	19508652263389991513609833598783890995019776.000000	1.404468e+306
64000 x 1024	        1.822128	  0.000000	39882042361546476666780152476205802787438592.000000	1.404468e+306
128000 x 1024	        3.818907	  0.000000	83586769775499349490367231719410915927392256.000000	2.692625e+02
256000 x 1024	        7.828506	  0.000000	171347339460184261860978338649635970294480896.000000	2.692300e+02
512000 x 1024	       16.069127	  0.000000	351714895345552568915152740105006894152679424.000000	2.692300e+02
1024000 x 1024	       32.619927	  0.593134	 54.995844	0.000000e+00
