Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.055334	  0.000000	1210677648110780308335502483824730223673344.000000	4.619822e+281
4000 x 512	        0.167973	  0.000000	3675176054605650660219245647952432699801600.000000	1.404468e+306
8000 x 512	        0.396916	  0.000000	8684343892333187578916873945689235359006720.000000	1.404468e+306
16000 x 512	        0.855605	  0.000000	18720256712121782222694804597190627615047680.000000	1.404468e+306
32000 x 512	        1.799237	  0.000000	39366528151987881829544486987276021808496640.000000	1.404468e+306
64000 x 512	        3.843813	  0.000000	84100946940634237276994272078703338140467200.000000	1.392651e+02
128000 x 512	        7.795723	  0.000000	170567016239777052549150281363687733903491072.000000	1.393549e+02
256000 x 512	       15.709704	  0.000000	343721469040451312286287390743584007341998080.000000	1.393055e+02
512000 x 512	       32.213225	  0.000000	704811296420603937652990092947817424266199040.000000	1.393549e+02
1024000 x 512	       66.202853	  0.000000	1448489534126533324582362531742338273771520000.000000	1.393549e+02
