Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.014037	  0.000000	306273146524716285180395266889439894306816.000000	1.363074e+02
4000 x 512	        0.042112	  0.000000	918830883476292508788955635383357860216832.000000	1.364526e+02
8000 x 512	        0.098364	  0.000000	2146170249028430692112999869011927811227648.000000	1.508922e+135
16000 x 512	        0.210996	  0.000000	4603645915635857890905987788674435641245696.000000	1.404468e+306
32000 x 512	        0.436499	  0.000000	9523840262253949090285243956940288812908544.000000	1.404468e+306
64000 x 512	        0.902180	  0.000000	19684380105780419658597173018939204495736832.000000	1.404468e+306
128000 x 512	        1.808049	  0.000000	39449266706018943739687491418491643240644608.000000	1.404468e+306
256000 x 512	        3.733636	  0.000000	81463038270536916169022088840422217826172928.000000	1.366331e+02
512000 x 512	        7.638029	  0.000000	166651778637000776332502776159651957376548864.000000	1.365890e+02
1024000 x 512	       15.840294	  0.000000	345614448686938671044067601866231391746785280.000000	1.365545e+02
