Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.006873	  0.000700	  9.820198	0.000000e+00
4000 x 2048	        0.020690	  0.000688	 30.061632	0.000000e+00
8000 x 2048	        0.048318	  0.001009	 47.864790	0.000000e+00
16000 x 2048	        0.106675	  0.001676	 63.664086	0.000000e+00
32000 x 2048	        0.219590	  0.002799	 78.445795	0.000000e+00
64000 x 2048	        0.445760	  0.005250	 84.900430	0.000000e+00
128000 x 2048	        0.898712	  0.009741	 92.264593	0.000000e+00
256000 x 2048	        1.807361	  0.019611	 92.161144	0.000000e+00
512000 x 2048	        3.731017	  0.039199	 95.181866	0.000000e+00
1024000 x 2048	        7.703367	  0.077556	 99.327007	0.000000e+00
