Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.007008	  0.000000	152919625373711731939589185390871612227584.000000	2.656524e+02
4000 x 1024	        0.021244	  0.000000	463533854461784244820788313339023193014272.000000	2.656805e+02
8000 x 1024	        0.049439	  0.000000	1078726029350207250947013146692261400018944.000000	2.656806e+02
16000 x 1024	        0.105990	  0.000000	2312642007668405235408485785743059287277568.000000	1.527376e+135
32000 x 1024	        0.222363	  0.000000	4851818323970385226335748248344419503177728.000000	1.404468e+306
64000 x 1024	        0.447888	  0.000000	9772619612203468369566171841656699314241536.000000	1.404468e+306
128000 x 1024	        0.900394	  0.000000	19646012025456838982422704446395002126336000.000000	1.404468e+306
256000 x 1024	        1.800670	  0.000000	39289448461442049667368965957735764958642176.000000	1.404468e+306
512000 x 1024	        3.772973	  0.000000	82323829189813096321274341626157014108340224.000000	2.659357e+02
1024000 x 1024	        7.774796	  0.000000	169641040283851612490470903285758486284075008.000000	2.658933e+02
