Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.013927	  0.000781	 17.829112	0.000000e+00
4000 x 2048	        0.041708	  0.000878	 47.492913	0.000000e+00
8000 x 2048	        0.098359	  0.001420	 69.275099	0.000000e+00
16000 x 2048	        0.215058	  0.002436	 88.296571	0.000000e+00
32000 x 2048	        0.441256	  0.004368	101.015195	0.000000e+00
64000 x 2048	        0.894207	  0.008290	107.868161	0.000000e+00
128000 x 2048	        1.867379	  0.021140	 88.335572	0.000000e+00
256000 x 2048	        3.844766	  0.050330	 76.391747	0.000000e+00
512000 x 2048	        8.024310	  0.091485	 87.712228	5.283018e+02
1024000 x 2048	       16.011714	  0.091485	175.021040	5.278472e+02
