Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.006857	  0.000689	  9.958391	0.000000e+00
4000 x 1024	        0.022688	  0.000665	 34.094347	0.000000e+00
8000 x 1024	        0.050708	  0.001030	 49.242959	0.000000e+00
16000 x 1024	        0.106888	  0.001659	 64.430122	0.000000e+00
32000 x 1024	        0.222408	  0.002778	 80.061867	0.000000e+00
64000 x 1024	        0.446780	  0.005252	 85.066076	0.000000e+00
128000 x 1024	        0.895733	  0.010029	 89.311409	0.000000e+00
256000 x 1024	        1.849794	  0.015016	123.189981	0.000000e+00
512000 x 1024	        3.774977	  0.029681	127.185999	0.000000e+00
1024000 x 1024	        7.616486	  0.053918	141.260092	2.658933e+02
