Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.013925	  0.000795	 17.518692	0.000000e+00
4000 x 1024	        0.043310	  0.000874	 49.562862	0.000000e+00
8000 x 1024	        0.099018	  0.001396	 70.919739	0.000000e+00
16000 x 1024	        0.211195	  0.002410	 87.617213	0.000000e+00
32000 x 1024	        0.442186	  0.004398	100.534731	0.000000e+00
64000 x 1024	        0.891092	  0.008359	106.596438	0.000000e+00
128000 x 1024	        1.854980	  0.021799	 85.094015	0.000000e+00
256000 x 1024	        3.810946	  0.056567	 67.370227	0.000000e+00
512000 x 1024	        7.719725	  0.101858	 75.789210	0.000000e+00
1024000 x 1024	       15.546300	  0.185144	 83.968487	2.690965e+02
