Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.013999	  0.000825	 16.968204	0.000000e+00
4000 x 512	        0.044878	  0.000877	 51.166128	0.000000e+00
8000 x 512	        0.101221	  0.001442	 70.191133	0.000000e+00
16000 x 512	        0.213482	  0.002417	 88.310718	0.000000e+00
32000 x 512	        0.437744	  0.004370	100.164451	0.000000e+00
64000 x 512	        0.897106	  0.008439	106.304648	0.000000e+00
128000 x 512	        1.858034	  0.023198	 80.093174	0.000000e+00
256000 x 512	        3.807045	  0.065365	 58.242903	0.000000e+00
512000 x 512	        7.711687	  0.104916	 73.503563	0.000000e+00
1024000 x 512	       15.516282	  0.201855	 76.868509	0.000000e+00
