Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.056344	  0.001488	 37.876118	0.000000e+00
4000 x 2048	        0.169056	  0.002242	 75.388429	0.000000e+00
8000 x 2048	        0.394663	  0.004517	 87.369398	0.000000e+00
16000 x 2048	        0.860597	  0.008698	 98.938849	0.000000e+00
32000 x 2048	        1.823315	  0.016636	109.603121	0.000000e+00
64000 x 2048	        3.808454	  0.040724	 93.519343	0.000000e+00
128000 x 2048	        7.779932	  0.107981	 72.049193	0.000000e+00
256000 x 2048	       15.702231	  0.236680	 66.343644	0.000000e+00
512000 x 2048	       31.786577	  0.430309	 73.869106	5.349691e+02
1024000 x 2048	       64.030522	  0.430309	148.801095	5.347362e+02
