Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.006913	  0.000559	 12.371540	0.000000e+00
4000 x 256	        0.020781	  0.000655	 31.704956	0.000000e+00
8000 x 256	        0.053975	  0.000998	 54.077722	0.000000e+00
16000 x 256	        0.108916	  0.001658	 65.702669	0.000000e+00
32000 x 256	        0.218829	  0.002814	 77.768427	0.000000e+00
64000 x 256	        0.443361	  0.005186	 85.490898	0.000000e+00
128000 x 256	        0.900176	  0.009978	 90.212036	0.000000e+00
256000 x 256	        1.860051	  0.019515	 95.314249	0.000000e+00
512000 x 256	        3.835037	  0.038708	 99.077080	0.000000e+00
1024000 x 256	        7.772099	  0.065678	118.337241	0.000000e+00
