Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 4096	        0.006930	  0.000622	 11.148343	0.000000e+00
4000 x 4096	        0.020958	  0.000654	 32.065126	0.000000e+00
8000 x 4096	        0.050013	  0.001025	 48.804303	0.000000e+00
16000 x 4096	        0.106312	  0.001605	 66.243441	0.000000e+00
32000 x 4096	        0.218547	  0.002802	 78.003055	0.000000e+00
64000 x 4096	        0.443355	  0.005296	 83.717010	0.000000e+00
128000 x 4096	        0.892644	  0.008000	111.587493	0.000000e+00
256000 x 4096	        1.847705	  0.014521	127.246547	1.041967e+03
512000 x 4096	        3.791243	  0.014521	261.092816	1.041680e+03
