Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.014131	  0.000704	 20.071215	0.000000e+00
4000 x 256	        0.042670	  0.000834	 51.175420	0.000000e+00
8000 x 256	        0.107547	  0.001478	 72.788553	0.000000e+00
16000 x 256	        0.220640	  0.002458	 89.769390	0.000000e+00
32000 x 256	        0.448334	  0.004405	101.789761	0.000000e+00
64000 x 256	        0.903178	  0.008424	107.214069	0.000000e+00
128000 x 256	        1.891456	  0.023229	 81.425209	0.000000e+00
256000 x 256	        3.891314	  0.069479	 56.007088	0.000000e+00
512000 x 256	        7.883501	  0.130864	 60.242129	0.000000e+00
1024000 x 256	       15.923738	  0.207040	 76.911391	0.000000e+00
