Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.028463	  0.000917	 31.046332	0.000000e+00
4000 x 2048	        0.085338	  0.001294	 65.926195	0.000000e+00
8000 x 2048	        0.198786	  0.002279	 87.213485	0.000000e+00
16000 x 2048	        0.430850	  0.004566	 94.356352	0.000000e+00
32000 x 2048	        0.882866	  0.008505	103.806664	0.000000e+00
64000 x 2048	        1.867270	  0.016962	110.088541	0.000000e+00
128000 x 2048	        3.865296	  0.046236	 83.599774	0.000000e+00
256000 x 2048	        8.010163	  0.103267	 77.567262	0.000000e+00
512000 x 2048	       15.944295	  0.187749	 84.923463	5.283018e+02
1024000 x 2048	       32.012526	  0.187749	170.507045	5.278472e+02
