Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.071341	  0.001601	 44.557914	0.000000e+00
4000 x 256	        0.200739	  0.002233	 89.905312	0.000000e+00
8000 x 256	        0.444436	  0.004539	 97.906582	0.000000e+00
16000 x 256	        0.930153	  0.008694	106.991041	0.000000e+00
32000 x 256	        1.929363	  0.016730	115.324847	0.000000e+00
64000 x 256	        4.090071	  0.040914	 99.968266	0.000000e+00
128000 x 256	        8.404683	  0.127974	 65.674917	0.000000e+00
256000 x 256	       16.748180	  0.283210	 59.136885	0.000000e+00
512000 x 256	       33.377977	  0.500484	 66.691350	0.000000e+00
1024000 x 256	       65.026018	  0.947068	 68.660366	0.000000e+00
