Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.028358	  0.001032	 27.470717	0.000000e+00
4000 x 512	        0.087345	  0.001281	 68.180690	0.000000e+00
8000 x 512	        0.201707	  0.002327	 86.669969	0.000000e+00
16000 x 512	        0.428232	  0.004543	 94.264743	0.000000e+00
32000 x 512	        0.881473	  0.008477	103.989060	0.000000e+00
64000 x 512	        1.881367	  0.016826	111.810306	0.000000e+00
128000 x 512	        3.899696	  0.053688	 72.636856	0.000000e+00
256000 x 512	        7.884921	  0.142001	 55.527051	0.000000e+00
512000 x 512	       15.853240	  0.207987	 76.222356	0.000000e+00
1024000 x 512	       31.791638	  0.417348	 76.175421	0.000000e+00
