Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.007010	  0.000668	 10.486928	0.000000e+00
4000 x 2048	        0.020740	  0.000657	 31.571116	0.000000e+00
8000 x 2048	        0.049068	  0.001009	 48.638744	0.000000e+00
16000 x 2048	        0.106946	  0.001736	 61.601630	0.000000e+00
32000 x 2048	        0.219118	  0.002809	 77.999124	0.000000e+00
64000 x 2048	        0.443487	  0.005233	 84.755703	0.000000e+00
128000 x 2048	        0.892930	  0.010017	 89.140474	0.000000e+00
256000 x 2048	        1.848358	  0.015029	122.984111	0.000000e+00
512000 x 2048	        3.774094	  0.027295	138.269019	5.283018e+02
1024000 x 2048	        7.645693	  0.027295	280.110280	5.278472e+02
