Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.027937	  0.001051	 26.586476	0.000000e+00
4000 x 1024	        0.084843	  0.001289	 65.812868	0.000000e+00
8000 x 1024	        0.197109	  0.002242	 87.900288	0.000000e+00
16000 x 1024	        0.421303	  0.004508	 93.449751	0.000000e+00
32000 x 1024	        0.883698	  0.008608	102.662484	0.000000e+00
64000 x 1024	        1.862954	  0.017168	108.515849	0.000000e+00
128000 x 1024	        3.847328	  0.053765	 71.558892	0.000000e+00
256000 x 1024	        7.798993	  0.102820	 75.851119	0.000000e+00
512000 x 1024	       15.809511	  0.209306	 75.533044	0.000000e+00
1024000 x 1024	       31.744734	  0.380505	 83.427934	2.690965e+02
