Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.029211	  0.000939	 31.107336	0.000000e+00
4000 x 256	        0.086673	  0.001275	 67.990595	0.000000e+00
8000 x 256	        0.201441	  0.002288	 88.030892	0.000000e+00
16000 x 256	        0.433352	  0.004533	 95.589362	0.000000e+00
32000 x 256	        0.900328	  0.008507	105.837020	0.000000e+00
64000 x 256	        1.887878	  0.016704	113.020246	0.000000e+00
128000 x 256	        3.942475	  0.053922	 73.114305	0.000000e+00
256000 x 256	        7.987943	  0.144722	 55.195147	0.000000e+00
512000 x 256	       16.396504	  0.246042	 66.641100	0.000000e+00
1024000 x 256	       32.696643	  0.417667	 78.283946	0.000000e+00
