Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.055129	  0.001611	 34.225436	0.000000e+00
4000 x 512	        0.167980	  0.002219	 75.692060	0.000000e+00
8000 x 512	        0.390348	  0.004513	 86.499167	0.000000e+00
16000 x 512	        0.841503	  0.008648	 97.306759	0.000000e+00
32000 x 512	        1.804133	  0.016324	110.520862	0.000000e+00
64000 x 512	        3.842403	  0.040581	 94.683714	0.000000e+00
128000 x 512	        7.809827	  0.128088	 60.972212	0.000000e+00
256000 x 512	       15.733289	  0.250732	 62.749459	0.000000e+00
512000 x 512	       31.596343	  0.475692	 66.421884	0.000000e+00
1024000 x 512	       63.285141	  0.950411	 66.587141	0.000000e+00
