Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.055556	  0.001542	 36.031150	0.000000e+00
4000 x 1024	        0.167665	  0.002231	 75.161529	0.000000e+00
8000 x 1024	        0.392069	  0.004451	 88.089763	0.000000e+00
16000 x 1024	        0.842790	  0.008568	 98.366382	0.000000e+00
32000 x 1024	        1.831316	  0.016485	111.091027	0.000000e+00
64000 x 1024	        3.815783	  0.040515	 94.182208	0.000000e+00
128000 x 1024	        7.796059	  0.114238	 68.244086	0.000000e+00
256000 x 1024	       15.721552	  0.255579	 61.513496	0.000000e+00
512000 x 1024	       31.585285	  0.477422	 66.157962	0.000000e+00
1024000 x 1024	       63.651707	  0.867501	 73.373637	2.690965e+02
