Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 4096	        0.014738	  0.000670	 22.006403	0.000000e+00
4000 x 4096	        0.043807	  0.000862	 50.828309	0.000000e+00
8000 x 4096	        0.104306	  0.001520	 68.638708	0.000000e+00
16000 x 4096	        0.222311	  0.002707	 82.111468	0.000000e+00
32000 x 4096	        0.457441	  0.005028	 90.976029	0.000000e+00
64000 x 4096	        0.930208	  0.007509	123.875824	0.000000e+00
128000 x 4096	        1.929686	  0.017989	107.273174	0.000000e+00
256000 x 4096	        3.971295	  0.032678	121.528508	1.048194e+03
512000 x 4096	        7.945838	  0.032678	243.156425	1.048056e+03
