Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.007179	  0.039833	  0.180228	1.551712e+00
4000 x 256	        0.023221	  0.048651	  0.477293	1.646360e+00
8000 x 256	        0.052267	  0.042462	  1.230910	1.549864e+00
16000 x 256	        0.110735	  0.047496	  2.331476	1.609130e+00
32000 x 256	        0.228657	  0.040265	  5.678726	1.683386e+00
64000 x 256	        0.464708	  0.062750	  7.405741	1.705522e+00
128000 x 256	        0.939202	  0.037116	 25.304828	1.702936e+00
256000 x 256	        1.944495	  0.039781	 48.879872	1.752541e+00
512000 x 256	        3.951180	  0.068352	 57.805981	1.752541e+00
1024000 x 256	        7.948014	  0.134915	 58.911425	1.831477e+00
