Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.055762	  0.001380	 40.404100	0.000000e+00
4000 x 2048	        0.166655	  0.002162	 77.084643	0.000000e+00
8000 x 2048	        0.400335	  0.004463	 89.695216	0.000000e+00
16000 x 2048	        0.890179	  0.008637	103.062157	0.000000e+00
32000 x 2048	        1.917408	  0.016482	116.330211	0.000000e+00
64000 x 2048	        3.926104	  0.039830	 98.572526	0.000000e+00
128000 x 2048	        8.145176	  0.101719	 80.075343	0.000000e+00
256000 x 2048	       16.483087	  0.236501	 69.695703	0.000000e+00
512000 x 2048	       32.885578	  0.429917	 76.492844	5.349691e+02
1024000 x 2048	       65.185606	  0.429917	151.623681	5.347362e+02
