Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.060242	  0.009972	  6.041387	0.000000e+00
4000 x 512	        0.189982	  0.017164	 11.068854	0.000000e+00
8000 x 512	        0.435378	  0.036501	 11.927707	0.000000e+00
16000 x 512	        0.933447	  0.181629	  5.139311	0.000000e+00
32000 x 512	        1.970064	  0.163011	 12.085445	0.000000e+00
64000 x 512	        4.187853	  0.087441	 47.893342	0.000000e+00
128000 x 512	        8.490189	  0.205200	 41.375097	0.000000e+00
256000 x 512	       17.212549	  0.456296	 37.722350	0.000000e+00
512000 x 512	       34.652115	  0.921786	 37.592357	0.000000e+00
1024000 x 512	       69.546975	  1.675041	 41.519575	1.393549e+02
