Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.030998	  0.000963	 32.183283	0.000000e+00
4000 x 2048	        0.095807	  0.001279	 74.932870	0.000000e+00
8000 x 2048	        0.212121	  0.002187	 96.996633	0.000000e+00
16000 x 2048	        0.453451	  0.004486	101.082736	0.000000e+00
32000 x 2048	        0.939662	  0.008366	112.324285	0.000000e+00
64000 x 2048	        1.977435	  0.016830	117.496722	0.000000e+00
128000 x 2048	        4.082256	  0.038086	107.185669	0.000000e+00
256000 x 2048	        8.250060	  0.069178	119.257692	5.283018e+02
512000 x 2048	       16.587151	  0.069178	239.773458	5.283018e+02
1024000 x 2048	       32.807058	  0.069178	474.238261	5.278472e+02
