Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.030689	  0.001008	 30.437489	0.000000e+00
4000 x 1024	        0.095127	  0.001300	 73.194236	0.000000e+00
8000 x 1024	        0.216704	  0.002146	100.960608	0.000000e+00
16000 x 1024	        0.464802	  0.004444	104.590358	0.000000e+00
32000 x 1024	        0.963600	  0.008281	116.364172	0.000000e+00
64000 x 1024	        2.007416	  0.016826	119.303425	0.000000e+00
128000 x 1024	        4.110062	  0.053258	 77.172405	0.000000e+00
256000 x 1024	        8.337460	  0.109816	 75.922060	0.000000e+00
512000 x 1024	       16.777869	  0.195590	 85.780622	2.692300e+02
1024000 x 1024	       33.774875	  0.195590	172.681628	2.690965e+02
