Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.007948	  0.006910	  1.150348	0.000000e+00
4000 x 512	        0.023353	  0.003253	  7.179944	0.000000e+00
8000 x 512	        0.055945	  0.003417	 16.374311	0.000000e+00
16000 x 512	        0.116948	  0.009389	 12.455685	0.000000e+00
32000 x 512	        0.241122	  0.014331	 16.825021	0.000000e+00
64000 x 512	        0.494451	  0.024471	 20.205895	0.000000e+00
128000 x 512	        0.994094	  0.026105	 38.080150	0.000000e+00
256000 x 512	        2.070877	  0.052292	 39.602196	0.000000e+00
512000 x 512	        4.190212	  0.036692	114.198607	0.000000e+00
1024000 x 512	        8.268113	  0.063300	130.616977	1.365545e+02
