Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.061886	  0.032998	  1.875416	0.000000e+00
4000 x 256	        0.179847	  0.045875	  3.920413	0.000000e+00
8000 x 256	        0.419818	  0.050676	  8.284375	0.000000e+00
16000 x 256	        0.907473	  0.067279	 13.488282	0.000000e+00
32000 x 256	        1.959478	  0.068516	 28.598986	0.000000e+00
64000 x 256	        4.109100	  0.086034	 47.761528	0.000000e+00
128000 x 256	        8.420223	  0.210820	 39.940294	0.000000e+00
256000 x 256	       16.766132	  0.487244	 34.410149	0.000000e+00
512000 x 256	       33.578491	  0.888544	 37.790451	7.128282e+01
1024000 x 256	       67.746547	  0.888544	 76.244422	7.128854e+01
