Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.014074	  0.000673	 20.900534	0.000000e+00
4000 x 2048	        0.043487	  0.000900	 48.299959	0.000000e+00
8000 x 2048	        0.103196	  0.001483	 69.586792	0.000000e+00
16000 x 2048	        0.229227	  0.002772	 82.699679	0.000000e+00
32000 x 2048	        0.465390	  0.005134	 90.640410	0.000000e+00
64000 x 2048	        0.941253	  0.009915	 94.930118	0.000000e+00
128000 x 2048	        1.967332	  0.019292	101.975488	0.000000e+00
256000 x 2048	        4.042586	  0.035069	115.275966	5.283632e+02
512000 x 2048	        8.184367	  0.035069	233.380514	5.283018e+02
1024000 x 2048	       16.545756	  0.035069	471.808893	5.278472e+02
