Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.014537	  0.000716	 20.315391	0.000000e+00
4000 x 1024	        0.042834	  0.000860	 49.832446	0.000000e+00
8000 x 1024	        0.100000	  0.001421	 70.390475	0.000000e+00
16000 x 1024	        0.213854	  0.002661	 80.376051	0.000000e+00
32000 x 1024	        0.464702	  0.005062	 91.799447	0.000000e+00
64000 x 1024	        0.939852	  0.009726	 96.632734	0.000000e+00
128000 x 1024	        1.968910	  0.024004	 82.025321	0.000000e+00
256000 x 1024	        4.045072	  0.051241	 78.942207	0.000000e+00
512000 x 1024	        8.220674	  0.093148	 88.253932	2.692300e+02
1024000 x 1024	       16.526304	  0.093148	177.419914	2.690965e+02
