Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.006867	  0.000604	 11.370070	0.000000e+00
4000 x 2048	        0.020773	  0.000633	 32.839806	0.000000e+00
8000 x 2048	        0.048856	  0.000970	 50.347535	0.000000e+00
16000 x 2048	        0.107381	  0.001681	 63.884502	0.000000e+00
32000 x 2048	        0.220810	  0.002836	 77.846307	0.000000e+00
64000 x 2048	        0.476432	  0.005284	 90.159755	0.000000e+00
128000 x 2048	        0.929713	  0.007632	121.823365	0.000000e+00
256000 x 2048	        1.894367	  0.014950	126.713802	0.000000e+00
512000 x 2048	        3.840141	  0.027143	141.477080	5.283018e+02
1024000 x 2048	        7.754329	  0.027143	285.682186	5.278472e+02
