Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.014679	  0.035252	  0.416392	0.000000e+00
4000 x 256	        0.043947	  0.037584	  1.169318	0.000000e+00
8000 x 256	        0.102592	  0.042483	  2.414882	0.000000e+00
16000 x 256	        0.220395	  0.035854	  6.146931	0.000000e+00
32000 x 256	        0.451152	  0.021640	 20.848094	0.000000e+00
64000 x 256	        0.921397	  0.025421	 36.245909	0.000000e+00
128000 x 256	        1.945720	  0.081645	 23.831424	0.000000e+00
256000 x 256	        3.974534	  0.116085	 34.238083	0.000000e+00
512000 x 256	        8.063142	  0.220482	 36.570586	0.000000e+00
1024000 x 256	       16.269582	  0.430113	 37.826322	0.000000e+00
