Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.015107	  0.178158	  0.084797	0.000000e+00
4000 x 512	        0.046897	  0.179448	  0.261343	0.000000e+00
8000 x 512	        0.110131	  0.181258	  0.607591	0.000000e+00
16000 x 512	        0.232711	  0.175651	  1.324850	0.000000e+00
32000 x 512	        0.484197	  0.026566	 18.225978	0.000000e+00
64000 x 512	        1.016646	  0.045958	 22.121070	0.000000e+00
128000 x 512	        2.054859	  0.074566	 27.557437	0.000000e+00
256000 x 512	        4.185646	  0.236890	 17.669139	0.000000e+00
512000 x 512	        8.473467	  0.251235	 33.727215	0.000000e+00
1024000 x 512	       17.026610	  0.421390	 40.405824	0.000000e+00
