Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.007422	  0.000720	 10.315452	0.000000e+00
4000 x 1024	        0.023349	  0.000660	 35.401275	0.000000e+00
8000 x 1024	        0.052955	  0.001001	 52.888605	0.000000e+00
16000 x 1024	        0.112022	  0.001658	 67.549434	0.000000e+00
32000 x 1024	        0.236135	  0.002796	 84.448805	0.000000e+00
64000 x 1024	        0.471764	  0.005297	 89.060721	0.000000e+00
128000 x 1024	        0.942528	  0.009923	 94.980004	0.000000e+00
256000 x 1024	        1.946199	  0.015044	129.370749	0.000000e+00
512000 x 1024	        3.959882	  0.027323	144.929328	2.659357e+02
1024000 x 1024	        8.040502	  0.027323	294.277590	2.658933e+02
