Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.008592	  0.009300	  0.923870	0.000000e+00
4000 x 256	        0.024524	  0.005603	  4.376989	0.000000e+00
8000 x 256	        0.061496	  0.018564	  3.312590	0.000000e+00
16000 x 256	        0.131837	  0.010497	 12.559232	0.000000e+00
32000 x 256	        0.265444	  0.029132	  9.111706	0.000000e+00
64000 x 256	        0.540327	  0.029512	 18.308868	0.000000e+00
128000 x 256	        1.088062	  0.043083	 25.255069	0.000000e+00
256000 x 256	        2.250520	  0.065693	 34.257957	0.000000e+00
512000 x 256	        4.367528	  0.089679	 48.701543	0.000000e+00
1024000 x 256	        8.852743	  0.127264	 69.561904	0.000000e+00
