Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.027978	  0.000993	 28.187415	0.000000e+00
4000 x 2048	        0.085194	  0.001242	 68.612680	0.000000e+00
8000 x 2048	        0.199482	  0.002163	 92.213123	0.000000e+00
16000 x 2048	        0.435675	  0.004469	 97.487284	0.000000e+00
32000 x 2048	        0.905259	  0.008171	110.787813	0.000000e+00
64000 x 2048	        1.906479	  0.016538	115.276975	0.000000e+00
128000 x 2048	        3.929805	  0.037826	103.890877	0.000000e+00
256000 x 2048	        7.964058	  0.103796	 76.727765	0.000000e+00
512000 x 2048	       16.004624	  0.188639	 84.842390	5.283018e+02
1024000 x 2048	       32.249672	  0.188639	170.959294	5.278472e+02
