Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.070807	  0.020056	  3.530438	0.000000e+00
4000 x 256	        0.220262	  0.018333	 12.014794	0.000000e+00
8000 x 256	        0.514690	  0.025454	 20.220132	0.000000e+00
16000 x 256	        1.092259	  0.044262	 24.677070	0.000000e+00
32000 x 256	        2.277623	  0.060659	 37.548024	0.000000e+00
64000 x 256	        4.704305	  0.179269	 26.241575	0.000000e+00
128000 x 256	        9.635306	  0.206182	 46.731971	0.000000e+00
256000 x 256	       18.789695	  0.455854	 41.218626	0.000000e+00
512000 x 256	       37.217880	  0.936698	 39.733051	0.000000e+00
1024000 x 256	       73.721496	  1.847057	 39.912944	0.000000e+00
