Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.028030	  0.014515	  1.931070	0.000000e+00
4000 x 256	        0.087832	  0.015629	  5.619672	0.000000e+00
8000 x 256	        0.202772	  0.019826	 10.227780	0.000000e+00
16000 x 256	        0.446844	  0.024353	 18.348840	0.000000e+00
32000 x 256	        0.936298	  0.044514	 21.033761	0.000000e+00
64000 x 256	        1.970057	  0.060054	 32.804858	0.000000e+00
128000 x 256	        4.122179	  0.112650	 36.592811	0.000000e+00
256000 x 256	        8.349012	  0.258171	 32.339058	0.000000e+00
512000 x 256	       16.978201	  0.413094	 41.100062	0.000000e+00
1024000 x 256	       34.551345	  0.805736	 42.881731	0.000000e+00
