Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.028548	  0.000904	 31.569351	0.000000e+00
4000 x 1024	        0.089608	  0.001233	 72.686269	0.000000e+00
8000 x 1024	        0.206455	  0.002144	 96.298522	0.000000e+00
16000 x 1024	        0.439627	  0.004390	100.135188	0.000000e+00
32000 x 1024	        0.919019	  0.008447	108.799240	0.000000e+00
64000 x 1024	        1.912404	  0.016886	113.253285	0.000000e+00
128000 x 1024	        3.923978	  0.052899	 74.178822	0.000000e+00
256000 x 1024	        7.935485	  0.103404	 76.742797	0.000000e+00
512000 x 1024	       15.968950	  0.210333	 75.922254	0.000000e+00
1024000 x 1024	       32.028957	  0.382725	 83.686513	2.690965e+02
