Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.057885	  0.001497	 38.672782	0.000000e+00
4000 x 1024	        0.182589	  0.002127	 85.842120	0.000000e+00
8000 x 1024	        0.414605	  0.004349	 95.328526	0.000000e+00
16000 x 1024	        0.883791	  0.008344	105.918341	0.000000e+00
32000 x 1024	        1.889191	  0.016138	117.067265	0.000000e+00
64000 x 1024	        3.909749	  0.039806	 98.219707	0.000000e+00
128000 x 1024	        7.949769	  0.123945	 64.139393	0.000000e+00
256000 x 1024	       15.989325	  0.235190	 67.984689	0.000000e+00
512000 x 1024	       32.093067	  0.475832	 67.446143	0.000000e+00
1024000 x 1024	       64.582835	  0.865362	 74.631015	2.690965e+02
