Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 4096	        0.028980	  0.000923	 31.412935	0.000000e+00
4000 x 4096	        0.084779	  0.001245	 68.102885	0.000000e+00
8000 x 4096	        0.204842	  0.002234	 91.682555	0.000000e+00
16000 x 4096	        0.434668	  0.004417	 98.410416	0.000000e+00
32000 x 4096	        0.914366	  0.008104	112.831053	0.000000e+00
64000 x 4096	        1.909160	  0.012966	147.239752	0.000000e+00
128000 x 4096	        3.996757	  0.038018	105.127608	0.000000e+00
256000 x 4096	        7.984225	  0.069102	115.542312	1.048290e+03
512000 x 4096	       16.185524	  0.069102	234.225983	1.048348e+03
