Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.013952	  0.002988	  4.670007	0.000000e+00
4000 x 2048	        0.046976	  0.012226	  3.842428	0.000000e+00
8000 x 2048	        0.102121	  0.038786	  2.632902	0.000000e+00
16000 x 2048	        0.214843	  0.039868	  5.388884	0.000000e+00
32000 x 2048	        0.457757	  0.034873	 13.126282	0.000000e+00
64000 x 2048	        0.924590	  0.050344	 18.365464	0.000000e+00
128000 x 2048	        1.923362	  0.085236	 22.565151	0.000000e+00
256000 x 2048	        4.006256	  0.128822	 31.099192	0.000000e+00
512000 x 2048	        8.094104	  0.250889	 32.261636	0.000000e+00
1024000 x 2048	       16.409946	  0.448358	 36.600074	0.000000e+00
