Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 256	        0.028838	  0.031666	  0.910697	0.000000e+00
4000 x 256	        0.086936	  0.043212	  2.011828	0.000000e+00
8000 x 256	        0.203521	  0.042945	  4.739115	0.000000e+00
16000 x 256	        0.440709	  0.031114	 14.164302	0.000000e+00
32000 x 256	        0.921575	  0.046132	 19.976968	0.000000e+00
64000 x 256	        1.950469	  0.056812	 34.331878	0.000000e+00
128000 x 256	        4.074325	  0.100324	 40.611667	0.000000e+00
256000 x 256	        8.226027	  0.250532	 32.834288	0.000000e+00
512000 x 256	       16.774755	  0.456737	 36.727350	7.128282e+01
1024000 x 256	       33.601324	  0.456737	 73.568141	7.128854e+01
