Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.007148	  0.007626	  0.937230	0.000000e+00
4000 x 2048	        0.022085	  0.008786	  2.513691	0.000000e+00
8000 x 2048	        0.051997	  0.035919	  1.447629	0.000000e+00
16000 x 2048	        0.114604	  0.029311	  3.909968	0.000000e+00
32000 x 2048	        0.233920	  0.040411	  5.788567	0.000000e+00
64000 x 2048	        0.460445	  0.045298	 10.164724	0.000000e+00
128000 x 2048	        0.939357	  0.060175	 15.610487	0.000000e+00
256000 x 2048	        1.903962	  0.069489	 27.399502	0.000000e+00
512000 x 2048	        3.939854	  0.102844	 38.309188	0.000000e+00
1024000 x 2048	        8.045217	  0.129764	 61.998632	0.000000e+00
